view,direction,country,slice,K,recall,n
V2,fwd,US,dba,10,1.0,187
V2,fwd,US,dba,20,1.0,187
V2,fwd,US,dba,50,1.0,187
V2,fwd,US,dba,100,1.0,187
V2,fwd,US,dba,200,1.0,187
V2,fwd,US,domain_or_handle,5,0.7273,649
V2,fwd,US,domain_or_handle,10,0.8552,649
V2,fwd,US,domain_or_handle,20,0.9106,649
V2,fwd,US,domain_or_handle,50,0.9414,649
V2,fwd,US,domain_or_handle,100,0.9507,649
V2,fwd,US,domain_or_handle,200,0.9553,649
V2,fwd,US,empty_address,5,0.0,499
V2,fwd,US,empty_address,10,0.0,499
V2,fwd,US,empty_address,20,0.0,499
V2,fwd,US,empty_address,50,0.0,499
V2,fwd,US,empty_address,100,0.0,499
V2,fwd,US,empty_address,200,0.0,499
V2,fwd,US,no_shared_name_word,5,0.7358,829
V2,fwd,US,no_shared_name_word,10,0.8565,829
V2,fwd,US,no_shared_name_word,20,0.9168,829
V2,fwd,US,no_shared_name_word,50,0.9481,829
V2,fwd,US,no_shared_name_word,100,0.9554,829
V2,fwd,US,no_shared_name_word,200,0.9626,829
V2,rev,India,all,1,0.7751,6791
V2,rev,India,all,2,0.8062,6791
V2,rev,India,all,5,0.8389,6791
V2,rev,India,all,10,0.8508,6791
V2,rev,India,all,20,0.8616,6791
V2,rev,India,dba,1,0.9881,84
V2,rev,India,dba,2,1.0,84
V2,rev,India,dba,5,1.0,84
V2,rev,India,dba,10,1.0,84
V2,rev,India,dba,20,1.0,84
V2,rev,India,domain_or_handle,1,0.8045,312
V2,rev,India,domain_or_handle,2,0.8429,312
V2,rev,India,domain_or_handle,5,0.8782,312
V2,rev,India,domain_or_handle,10,0.891,312
V2,rev,India,domain_or_handle,20,0.9006,312
V2,rev,India,empty_address,1,0.0,266
V2,rev,India,empty_address,2,0.0,266
V2,rev,India,empty_address,5,0.0,266
V2,rev,India,empty_address,10,0.0,266
V2,rev,India,empty_address,20,0.0,266
V2,rev,India,no_shared_name_word,1,0.7697,760
V2,rev,India,no_shared_name_word,2,0.8092,760
V2,rev,India,no_shared_name_word,5,0.8461,760
V2,rev,India,no_shared_name_word,10,0.8645,760
V2,rev,India,no_shared_name_word,20,0.8763,760
V2,rev,India,nonlatin_name,1,0.7006,1229
V2,rev,India,nonlatin_name,2,0.7502,1229
V2,rev,India,nonlatin_name,5,0.7893,1229
V2,rev,India,nonlatin_name,10,0.808,1229
V2,rev,India,nonlatin_name,20,0.8299,1229
V2,rev,US,all,1,0.8136,10740
V2,rev,US,all,2,0.8622,10740
V2,rev,US,all,5,0.9115,10740
V2,rev,US,all,10,0.9274,10740
V2,rev,US,all,20,0.9345,10740
V2,rev,US,dba,1,0.9412,187
V2,rev,US,dba,2,0.9519,187
V2,rev,US,dba,5,0.984,187
V2,rev,US,dba,10,1.0,187
V2,rev,US,dba,20,1.0,187
V2,rev,US,domain_or_handle,1,0.8644,649
V2,rev,US,domain_or_handle,2,0.9045,649
V2,rev,US,domain_or_handle,5,0.9507,649
V2,rev,US,domain_or_handle,10,0.9661,649
V2,rev,US,domain_or_handle,20,0.9723,649
V2,rev,US,empty_address,1,0.0,499
V2,rev,US,empty_address,2,0.0,499
V2,rev,US,empty_address,5,0.0,499
V2,rev,US,empty_address,10,0.0,499
V2,rev,US,empty_address,20,0.0,499
V2,rev,US,no_shared_name_word,1,0.8721,829
V2,rev,US,no_shared_name_word,2,0.9131,829
V2,rev,US,no_shared_name_word,5,0.9602,829
V2,rev,US,no_shared_name_word,10,0.9735,829
V2,rev,US,no_shared_name_word,20,0.9783,829
V3,key,India,all,1,0.5422,6791
V3,key,India,dba,1,0.6548,84
V3,key,India,domain_or_handle,1,0.5994,312
V3,key,India,empty_address,1,0.0,266
V3,key,India,no_shared_name_word,1,0.5474,760
V3,key,India,nonlatin_name,1,0.4939,1229
V3,key,US,all,1,0.4214,10740
V3,key,US,dba,1,0.5294,187
V3,key,US,domain_or_handle,1,0.4669,649
V3,key,US,empty_address,1,0.0,499
V3,key,US,no_shared_name_word,1,0.4487,829
union,all,India,all,5,0.9623,6791
union,all,India,all,10,0.9644,6791
union,all,India,all,20,0.9669,6791
union,all,India,all,50,0.9716,6791
union,all,India,all,100,0.9763,6791
union,all,India,all,200,0.9801,6791
union,all,India,dba,5,1.0,84
union,all,India,dba,10,1.0,84
union,all,India,dba,20,1.0,84
union,all,India,dba,50,1.0,84
union,all,India,dba,100,1.0,84
union,all,India,dba,200,1.0,84
union,all,India,domain_or_handle,5,0.9744,312
union,all,India,domain_or_handle,10,0.9744,312
union,all,India,domain_or_handle,20,0.9776,312
union,all,India,domain_or_handle,50,0.984,312
union,all,India,domain_or_handle,100,0.984,312
union,all,India,domain_or_handle,200,0.9872,312
union,all,India,empty_address,5,0.891,266
union,all,India,empty_address,10,0.891,266
union,all,India,empty_address,20,0.891,266
union,all,India,empty_address,50,0.9135,266
union,all,India,empty_address,100,0.9361,266
union,all,India,empty_address,200,0.9398,266
union,all,India,no_shared_name_word,5,0.9132,760
union,all,India,no_shared_name_word,10,0.9184,760
union,all,India,no_shared_name_word,20,0.9263,760
union,all,India,no_shared_name_word,50,0.9368,760
union,all,India,no_shared_name_word,100,0.95,760
union,all,India,no_shared_name_word,200,0.9618,760
union,all,India,nonlatin_name,5,0.8747,1229
union,all,India,nonlatin_name,10,0.8812,1229
union,all,India,nonlatin_name,20,0.8877,1229
union,all,India,nonlatin_name,50,0.8991,1229
union,all,India,nonlatin_name,100,0.9154,1229
union,all,India,nonlatin_name,200,0.9284,1229
union,all,US,all,5,0.9923,10740
union,all,US,all,10,0.9924,10740
union,all,US,all,20,0.9926,10740
union,all,US,all,50,0.9929,10740
union,all,US,all,100,0.9936,10740
union,all,US,all,200,0.9952,10740
union,all,US,dba,5,1.0,187
union,all,US,dba,10,1.0,187
union,all,US,dba,20,1.0,187
union,all,US,dba,50,1.0,187
union,all,US,dba,100,1.0,187
union,all,US,dba,200,1.0,187
union,all,US,domain_or_handle,5,0.9954,649
union,all,US,domain_or_handle,10,0.9954,649
union,all,US,domain_or_handle,20,0.9954,649
union,all,US,domain_or_handle,50,0.9954,649
union,all,US,domain_or_handle,100,0.9954,649
union,all,US,domain_or_handle,200,0.9969,649
union,all,US,empty_address,5,0.8878,499
union,all,US,empty_address,10,0.8878,499
union,all,US,empty_address,20,0.8878,499
union,all,US,empty_address,50,0.8878,499
union,all,US,empty_address,100,0.8938,499
union,all,US,empty_address,200,0.9178,499
union,all,US,no_shared_name_word,5,0.9928,829
union,all,US,no_shared_name_word,10,0.9928,829
union,all,US,no_shared_name_word,20,0.9928,829
union,all,US,no_shared_name_word,50,0.9928,829
union,all,US,no_shared_name_word,100,0.9928,829
union,all,US,no_shared_name_word,200,0.994,829
unique_V1,all,India,all,50,0.0898,6791
unique_V1,all,India,dba,50,0.0,84
unique_V1,all,India,domain_or_handle,50,0.0577,312
unique_V1,all,India,empty_address,50,0.9135,266
unique_V1,all,India,no_shared_name_word,50,0.0237,760
unique_V1,all,India,nonlatin_name,50,0.0236,1229
unique_V1,all,US,all,50,0.0542,10740
unique_V1,all,US,dba,50,0.0,187
unique_V1,all,US,domain_or_handle,50,0.0216,649
unique_V1,all,US,empty_address,50,0.8878,499
unique_V1,all,US,no_shared_name_word,50,0.0133,829
unique_V2,all,India,all,50,0.0912,6791
unique_V2,all,India,dba,50,0.0238,84
unique_V2,all,India,domain_or_handle,50,0.0705,312
unique_V2,all,India,empty_address,50,0.0,266
unique_V2,all,India,no_shared_name_word,50,0.2513,760
unique_V2,all,India,nonlatin_name,50,0.332,1229
unique_V2,all,US,all,50,0.0672,10740
unique_V2,all,US,dba,50,0.0267,187
unique_V2,all,US,domain_or_handle,50,0.1063,649
unique_V2,all,US,empty_address,50,0.0,499
unique_V2,all,US,no_shared_name_word,50,0.1785,829
unique_V3,all,India,all,50,0.0003,6791
unique_V3,all,India,dba,50,0.0,84
unique_V3,all,India,domain_or_handle,50,0.0,312
unique_V3,all,India,empty_address,50,0.0,266
unique_V3,all,India,no_shared_name_word,50,0.0,760
unique_V3,all,India,nonlatin_name,50,0.0016,1229
unique_V3,all,US,all,50,0.0001,10740
unique_V3,all,US,dba,50,0.0,187
unique_V3,all,US,domain_or_handle,50,0.0,649
unique_V3,all,US,empty_address,50,0.0,499
unique_V3,all,US,no_shared_name_word,50,0.0,829
